XKdXou7,Mon, 11 Mar 2019 19:28:24 GMT,click, idea, 1
XKdXou7,Mon, 11 Mar 2019 19:29:10 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:31:16 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:31:19 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:31:19 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:31:22 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:31:23 GMT,click, sortby, happy
XKdXou7,Mon, 11 Mar 2019 19:31:25 GMT,click, sortby, excited
XKdXou7,Mon, 11 Mar 2019 19:31:38 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:31:41 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:31:42 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:34:17 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:41:23 GMT,click, idea, 34
XKdXou7,Mon, 11 Mar 2019 19:41:24 GMT,click, idea, 1
XKdXou7,Mon, 11 Mar 2019 19:41:28 GMT,click, sortby, commenters
XKdXou7,Mon, 11 Mar 2019 19:41:31 GMT,click, sortby, comments
XKdXou7,Mon, 11 Mar 2019 19:44:54 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:44:55 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:44:57 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:44:58 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:45:00 GMT,click, sortby, happy
XKdXou7,Mon, 11 Mar 2019 19:45:02 GMT,click, sortby, excited
XKdXou7,Mon, 11 Mar 2019 19:45:03 GMT,click, sortby, negative
XKdXou7,Mon, 11 Mar 2019 19:45:08 GMT,click, sortby, excited
XKdXou7,Mon, 11 Mar 2019 19:45:13 GMT,click, sortby, neutral
XKdXou7,Mon, 11 Mar 2019 19:45:29 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:45:30 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:45:31 GMT,click, sortby, happy
XKdXou7,Mon, 11 Mar 2019 19:45:32 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:45:34 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:45:36 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:45:41 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:45:42 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:45:44 GMT,click, sortby, excited
XKdXou7,Mon, 11 Mar 2019 19:45:45 GMT,click, sortby, negative
XKdXou7,Mon, 11 Mar 2019 19:45:57 GMT,click, sortby, worried
XKdXou7,Mon, 11 Mar 2019 19:45:58 GMT,click, sortby, sad
XKdXou7,Mon, 11 Mar 2019 19:46:00 GMT,click, sortby, happy
XKdXou7,Mon, 11 Mar 2019 19:46:01 GMT,click, sortby, excited
XKdXou7,Mon, 11 Mar 2019 19:46:02 GMT,click, sortby, negative
XKdXou7,Mon, 11 Mar 2019 19:46:02 GMT,click, sortby, negative
XKdXou7,Mon, 11 Mar 2019 19:46:03 GMT,click, sortby, neutral
XKdXou7,Mon, 11 Mar 2019 19:46:06 GMT,click, sortby, positive
XKdXou7,Mon, 11 Mar 2019 19:46:12 GMT,click, sortby, negative
XKdXou7,Mon, 11 Mar 2019 19:46:15 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:46:16 GMT,click, sortby, angry
XKdXou7,Mon, 11 Mar 2019 19:46:44 GMT,click, idea, 25
XKdXou7,Mon, 11 Mar 2019 19:46:45 GMT,click, idea, 3
XKdXou7,Tue, 12 Mar 2019 21:18:18 GMT,click, sortby, positive
XKdXou7,Tue, 12 Mar 2019 21:18:21 GMT,click, sortby, neutral
XKdXou7,Tue, 12 Mar 2019 21:18:23 GMT,click, sortby, neutral
